Fecha;Camas UCI ocupadas;Camas UCI Disponibles;% Ocupación UCI;Camas UCI ocupadas Covid-19
15/05/2020;488;935;52,20%;179
16/05/2020;546;935;58,40%;203
17/05/2020;567;935;60,60%;217
18/05/2020;591;1065;55,50%;217
19/05/2020;609;1065;57,20%;235
20/05/2020;614;1065;57,70%;232
21/05/2020;603;1065;56,60%;227
22/05/2020;626;1092;57,30%;242
23/05/2020;650;1092;59,50%;246
24/05/2020;638;1092;58,40%;266
25/05/2020;635;1092;58,20%;280
26/05/2020;648;1077;60,20%;298
27/05/2020;674;1117;60,30%;298
28/05/2020;636;1152;55,20%;283
29/05/2020;679;1152;58,90%;286
30/05/2020;643;1152;55,80%;276
31/05/2020;656;1152;56,90%;290
1/06/2020;658;1162;56,60%;295
2/06/2020;716;1162;61,60%;312
3/06/2020;699;1162;60,20%;316
4/06/2020;660;1162;56,80%;304
5/06/2020;687;1162;59,10%;321
6/06/2020;695;1162;59,80%;307
7/06/2020;716;1162;61,60%;320
8/06/2020;726;1162;62,50%;320
9/06/2020;752;1169;64,30%;338
10/06/2020;742;1180;62,90%;347
11/06/2020;759;1180;64,30%;386
12/06/2020;758;1180;64,20%;394
13/06/2020;771;1180;65,30%;388
14/06/2020;770;1180;65,30%;405
15/06/2020;801;1185;67,60%;433
16/06/2020;799;1180;67,70%;418
17/06/2020;829;1191;69,60%;439
18/06/2020;814;1227;66,30%;454
19/06/2020;836;1227;68,10%;445
20/06/2020;841;1227;68,50%;482
21/06/2020;857;1227;69,80%;501
22/06/2020;883;1227;72%;529
23/06/2020;906;1227;73,80%;526
24/06/2020;907;1290;70,30%;530
25/06/2020;947;1290;73,40%;575
26/06/2020;1003;1290;77,80%;617
27/06/2020;1012;1277;79,20%;637
28/06/2020;1034;1322;78,20%;670
29/06/2020;1065;1322;80,60%;691
30/06/2020;1072;1322;81,10%;694
1/07/2020;1141;1377;82,90%;729
2/07/2020;1169;1372;85,20%;748
